Severity, Program, Time, Message, Server, Collective, ID, Category, OriginatingHost, OriginatingOSUser, OriginatingPIUser, Priority, ProcessHost, ProcessOSUser, ProcessPIUser, ProcessID, Source1, Source2, Source3
Information, pisnapss, 07-20-2026 12:55:35,"Successfully registered PIbufss from MKGSWOTOIS05:4188, record ID: 43. [0] Success", MKGPWOTRBHIS01, , 2141, , , , , 10, , pisnapss, , 5952, pisnapmgr, , 
Information, FTLDInt, 07-20-2026 12:58:23,"DeviceStatus=0", MKGPWOTRBHIS01, , 31104, UNIINT, , , , 10, , OTMKG.PROD\MKGPWOTRBHIS01$, , 3416, FTLDInt, FTLD | 1 | 0, 
Information, pisnapss, 07-20-2026 12:58:55,"Successfully registered PIbufss from MKGPWOTOIS05:3224, record ID: 43. [0] Success", MKGPWOTRBHIS01, , 2141, , , , , 10, , pisnapss, , 5952, pisnapmgr, , 
Information, pinetmgr, 07-20-2026 13:00:14,"Connection accepted:     Process name:  FTHConnectorWindowsServiceHost.exe(7820) ID: 237", MKGPWOTRBHIS01, , 7039, , , , , 10, , pinetmgr, , 3852, , , 
Debug, pinetmgr, 07-20-2026 13:00:21,"Deleting connection:  FTHConnectorWindowsServiceHost.exe(7820), Shutdown request received from FTHConnectorWindowsServiceHost.exe(7820), ID: 237  :0", MKGPWOTRBHIS01, , 7096, , , , , 10, , pinetmgr, , 3852, , , 
Debug, pinetmgr, 07-20-2026 13:00:21,"ID: 237; Duration: 0. min.; kbytes sent: 47.03516; kbytes recv: 0.1865234; app: RA-FHCL; user: ; osuser: ; trust: ; ip address: ; ip host: ", MKGPWOTRBHIS01, , 7133, , , , , 10, , pinetmgr, , 3852, Connection Statistics, , 
Information, pinetmgr, 07-20-2026 13:00:21,"Disconnected ID: 237 ; Process name: FTHConnectorWindowsServiceHost.exe(7820) ; User:  ; OS User:  ; Hostname: ; IP:  ; AppID: 625 ; AppName: RA-FHCL", MKGPWOTRBHIS01, , 7079, , , , , 10, , pinetmgr, , 3852, Connection Information, , 
Information, pisnapss, 07-20-2026 13:01:35,"Successfully registered PIbufss from MKGSWOTOIS05:4188, record ID: 43. [0] Success", MKGPWOTRBHIS01, , 2141, , , , , 10, , pisnapss, , 5952, pisnapmgr, , 
Information, pisnapss, 07-20-2026 13:04:55,"Successfully registered PIbufss from MKGPWOTOIS05:3224, record ID: 43. [0] Success", MKGPWOTRBHIS01, , 2141, , , , , 10, , pisnapss, , 5952, pisnapmgr, , 
Information, pisnapss, 07-20-2026 13:07:36,"Successfully registered PIbufss from MKGSWOTOIS05:4188, record ID: 43. [0] Success", MKGPWOTRBHIS01, , 2141, , , , , 10, , pisnapss, , 5952, pisnapmgr, , 
Information, pisnapss, 07-20-2026 13:10:56,"Successfully registered PIbufss from MKGPWOTOIS05:3224, record ID: 43. [0] Success", MKGPWOTRBHIS01, , 2141, , , , , 10, , pisnapss, , 5952, pisnapmgr, , 
Information, pisnapss, 07-20-2026 13:13:36,"Successfully registered PIbufss from MKGSWOTOIS05:4188, record ID: 43. [0] Success", MKGPWOTRBHIS01, , 2141, , , , , 10, , pisnapss, , 5952, pisnapmgr, , 
Information, pinetmgr, 07-20-2026 13:15:16,"Connection accepted:     Process name:  FTHConnectorWindowsServiceHost.exe(7820) ID: 238", MKGPWOTRBHIS01, , 7039, , , , , 10, , pinetmgr, , 3852, , , 
Information, pinetmgr, 07-20-2026 13:15:21,"Deleting connection:  FTHConnectorWindowsServiceHost.exe(7820), Connection lost(2), [109] The pipe has been ended., ID: 238  :0", MKGPWOTRBHIS01, , 7115, , , , , 10, , pinetmgr, , 3852, , , 
Debug, pinetmgr, 07-20-2026 13:15:21,"ID: 238; Duration: 0. min.; kbytes sent: 47.03516; kbytes recv: 0.1865234; app: RA-FHCL; user: ; osuser: ; trust: ; ip address: ; ip host: ", MKGPWOTRBHIS01, , 7133, , , , , 10, , pinetmgr, , 3852, Connection Statistics, , 
